場所,緯度,経度
北海道苫小牧市,42.631246,141.603122
北海道札幌市中央区,43.046848,141.322114
北海道帯広市,42.923335,143.197199
北海道札幌市豊平区,43.030834,141.386448
北海道函館市,41.768696,140.72906
北海道札幌市北区,43.144873,141.358562
北海道札幌市手稲区,43.110364,141.220008
北海道札幌市西区,43.06282,141.257723
北海道旭川市,43.770883,142.365008
北海道小樽市,43.190237,140.994172
北海道釧路市,42.984941,144.381804
北海道札幌市東区,43.119381,141.39938
北海道江別市,43.103767,141.536241
北海道札幌市厚別区,43.046262,141.477586
北海道札幌市南区,42.953919,141.219999
北海道札幌市清田区,42.961232,141.420662
北海道札幌市白石区,43.062351,141.413278
北海道北見市,43.803976,143.895784
青森県青森市,40.82222,140.747352
青森県弘前市,40.603063,140.464054
青森県八戸市,40.512206,141.488274
岩手県盛岡市,39.701956,141.15433
岩手県花巻市,39.388625,141.1169
岩手県一関市,38.934703,141.126876
岩手県奥州市,39.144411,141.139215
宮城県仙台市青葉区,38.326777,140.677942
宮城県仙台市泉区,38.338226,140.799211
宮城県仙台市宮城野区,38.278938,140.950857
宮城県仙台市若林区,38.220912,140.942987
宮城県石巻市,38.434332,141.302868
宮城県仙台市太白区,38.258965,140.669169
宮城県大崎市,38.577085,140.955631
宮城県多賀城市,38.29385,141.004438
宮城県宮城郡七ヶ浜町,38.304499,141.059081
宮城県塩竈市,38.31437,141.022061
宮城県岩沼市,38.104311,140.870199
宮城県刈田郡蔵王町,38.098066,140.658777
宮城県宮城郡松島町,38.380191,141.067293
宮城県名取市,38.171544,140.891982
秋田県秋田市,39.719967,140.10348
秋田県横手市,39.313828,140.566588
山形県山形市,38.255415,140.339618
山形県酒田市,38.914781,139.836644
山形県鶴岡市,38.727197,139.826742
福島県郡山市,37.400478,140.359682
福島県いわき市,37.050506,140.887744
福島県福島市,37.760799,140.474786
福島県会津若松市,37.489983,139.927749
茨城県水戸市,36.365876,140.471372
茨城県つくば市,36.083526,140.076445
茨城県龍ケ崎市,35.911611,140.182326
茨城県牛久市,35.979396,140.14955
茨城県取手市,35.911422,140.050353
茨城県ひたちなか市,36.396651,140.534793
茨城県土浦市,36.078318,140.204246
茨城県つくばみらい市,35.963238,140.036385
茨城県守谷市,35.951533,139.975572
茨城県古河市,36.178795,139.755735
茨城県日立市,36.599127,140.650471
茨城県筑西市,36.305234,139.979427
栃木県宇都宮市,36.555075,139.882621
栃木県小山市,36.314665,139.800149
栃木県那須塩原市,36.961686,140.046073
栃木県足利市,36.340187,139.44976
栃木県佐野市,36.314391,139.578392
栃木県鹿沼市,36.56697,139.745068
栃木県栃木市,36.382377,139.73414
群馬県高崎市,36.322069,139.003358
群馬県前橋市,36.389467,139.063413
群馬県伊勢崎市,36.311835,139.196544
群馬県太田市,36.290937,139.376043
群馬県桐生市,36.405358,139.330414
埼玉県さいたま市浦和区,35.875254,139.655412
埼玉県さいたま市南区,35.842749,139.665617
埼玉県志木市,35.836195,139.580058
埼玉県戸田市,35.817585,139.677779
埼玉県草加市,35.825408,139.805378
埼玉県越谷市,35.889699,139.791486
埼玉県さいたま市緑区,35.880964,139.680928
埼玉県さいたま市桜区,35.863818,139.604414
埼玉県入間市,35.8358,139.391079
埼玉県蕨市,35.825592,139.679757
埼玉県さいたま市北区,35.941106,139.61461
埼玉県熊谷市,36.147196,139.38898
埼玉県久喜市,36.062029,139.666777
埼玉県川口市,35.807736,139.724187
埼玉県さいたま市中央区,35.881205,139.624808
埼玉県朝霞市,35.79717,139.593641
埼玉県新座市,35.793153,139.56573
埼玉県川越市,35.925134,139.485804
埼玉県さいたま市大宮区,35.908649,139.624808
埼玉県上尾市,35.977447,139.59318
埼玉県狭山市,35.852839,139.412183
埼玉県鶴ケ島市,35.934505,139.393127
埼玉県入間郡三芳町,35.828386,139.526475
埼玉県さいたま市岩槻区,35.944104,139.701349
埼玉県春日部市,35.975262,139.752313
埼玉県富士見市,35.856857,139.547966
埼玉県所沢市,35.799423,139.468711
埼玉県さいたま市見沼区,35.927638,139.660515
埼玉県三郷市,35.830226,139.872331
埼玉県深谷市,36.197482,139.281448
埼玉県ふじみ野市,35.879352,139.519617
埼玉県鴻巣市,36.06591,139.52217
埼玉県吉川市,35.896147,139.855555
埼玉県東松山市,36.042208,139.399972
埼玉県桶川市,36.005766,139.542583
埼玉県白岡市,36.019114,139.676853
埼玉県北本市,36.026803,139.530199
埼玉県和光市,35.781333,139.605806
埼玉県坂戸市,35.957357,139.40314
埼玉県八潮市,35.822679,139.839239
埼玉県飯能市,35.855103,139.328608
埼玉県蓮田市,35.994368,139.662176
埼玉県南埼玉郡宮代町,36.022654,139.722984
埼玉県加須市,36.131388,139.601771
埼玉県幸手市,36.078098,139.725881
埼玉県行田市,36.13905,139.455933
埼玉県さいたま市西区,35.912964,139.578932
埼玉県北葛飾郡杉戸町,36.025851,139.736743
埼玉県北足立郡伊奈町,35.999584,139.624471
埼玉県入間郡毛呂山町,35.941562,139.315959
埼玉県日高市,35.907725,139.339016
埼玉県入間郡越生町,35.96452,139.29421
埼玉県羽生市,36.172671,139.548459
千葉県船橋市,35.694549,139.982728
千葉県白井市,35.791307,140.055628
千葉県柏市,35.867596,139.975758
千葉県松戸市,35.787666,139.903325
千葉県千葉市中央区,35.583071,140.131802
千葉県市原市,35.497882,140.114867
千葉県市川市,35.713572,139.927981
千葉県浦安市,35.65316,139.901986
千葉県習志野市,35.681641,140.027194
千葉県千葉市美浜区,35.634981,140.064982
千葉県印西市,35.832628,140.145697
千葉県流山市,35.856339,139.902953
千葉県千葉市稲毛区,35.648696,140.111234
千葉県八千代市,35.722436,140.099876
千葉県鎌ケ谷市,35.776861,140.000772
千葉県我孫子市,35.864101,140.028221
千葉県千葉市若葉区,35.615574,140.214143
千葉県佐倉市,35.723598,140.223939
千葉県印旛郡酒々井町,35.724832,140.269508
千葉県野田市,35.955175,139.874191
千葉県千葉市花見川区,35.677405,140.090673
千葉県袖ケ浦市,35.430256,139.954881
千葉県富津市,35.30406,139.857126
千葉県四街道市,35.669774,140.167948
千葉県成田市,35.776659,140.318742
千葉県富里市,35.726786,140.343062
千葉県木更津市,35.381252,139.924887
千葉県君津市,35.330445,139.902479
千葉県千葉市緑区,35.56019,140.214143
東京都中野区,35.707533,139.663759
東京都八王子市,35.666438,139.316007
東京都板橋区,35.751231,139.709279
東京都江東区,35.672775,139.817452
東京都大田区,35.561407,139.716063
東京都墨田区,35.710748,139.801639
東京都目黒区,35.641453,139.698077
東京都町田市,35.546656,139.438557
東京都台東区,35.712574,139.780204
東京都府中市,35.668992,139.477725
東京都港区,35.658081,139.751508
東京都練馬区,35.735645,139.651668
東京都千代田区,35.694031,139.753772
東京都渋谷区,35.661971,139.703795
東京都調布市,35.650611,139.540722
東京都品川区,35.609197,139.730336
東京都羽村市,35.767189,139.310894
東京都北区,35.752873,139.73377
東京都江戸川区,35.706701,139.86819
東京都文京区,35.707869,139.752437
東京都足立区,35.775017,139.804413
東京都立川市,35.713436,139.408009
東京都日野市,35.671354,139.395098
東京都新宿区,35.693825,139.703356
東京都清瀬市,35.786055,139.526173
東京都武蔵野市,35.717692,139.566088
東京都東村山市,35.754598,139.468561
東京都豊島区,35.726266,139.716821
東京都杉並区,35.699471,139.63552
東京都葛飾区,35.743285,139.847224
東京都世田谷区,35.646562,139.653292
東京都福生市,35.738489,139.327024
東京都多摩市,35.63711,139.446508
東京都中央区,35.670639,139.771989
東京都荒川区,35.735934,139.783476
東京都国分寺市,35.710372,139.463207
東京都東大和市,35.745385,139.42665
東京都国立市,35.683967,139.441387
東京都小平市,35.728613,139.477565
東京都三鷹市,35.683348,139.559837
東京都西東京市,35.725687,139.538294
東京都青梅市,35.788025,139.275798
東京都昭島市,35.70591,139.354016
東京都東久留米市,35.757997,139.529765
東京都小金井市,35.699456,139.503058
東京都稲城市,35.638104,139.504664
東京都武蔵村山市,35.754844,139.387476
東京都狛江市,35.635019,139.578665
東京都あきる野市,35.72859,139.293466
東京都西多摩郡瑞穂町,35.771908,139.354015
神奈川県横浜市港北区,35.526181,139.619709
神奈川県相模原市中央区,35.555947,139.375469
神奈川県藤沢市,35.339165,139.49014
神奈川県横浜市鶴見区,35.495628,139.680928
神奈川県横浜市旭区,35.474983,139.538182
神奈川県横浜市保土ケ谷区,35.454646,139.578932
神奈川県川崎市川崎区,35.530833,139.702913
神奈川県横浜市南区,35.432721,139.604414
神奈川県横浜市港南区,35.392839,139.573836
神奈川県横浜市都筑区,35.546501,139.578932
神奈川県横浜市磯子区,35.39083,139.61461
神奈川県横浜市中区,35.432255,139.660515
神奈川県横浜市戸塚区,35.401475,139.538182
神奈川県横浜市金沢区,35.342263,139.619709
神奈川県横須賀市,35.281498,139.672166
神奈川県川崎市中原区,35.572685,139.655412
神奈川県横浜市西区,35.455207,139.61461
神奈川県川崎市麻生区,35.593667,139.50255
神奈川県座間市,35.488602,139.407563
神奈川県川崎市高津区,35.593,139.61461
神奈川県川崎市幸区,35.548234,139.686033
神奈川県横浜市緑区,35.519322,139.522909
神奈川県秦野市,35.374743,139.219915
神奈川県厚木市,35.443094,139.36254
神奈川県川崎市多摩区,35.621816,139.538182
神奈川県大和市,35.487515,139.457998
神奈川県横浜市神奈川区,35.482783,139.61461
神奈川県平塚市,35.335216,139.349495
神奈川県横浜市青葉区,35.558562,139.517819
神奈川県川崎市宮前区,35.585751,139.573836
神奈川県海老名市,35.446447,139.390791
神奈川県茅ヶ崎市,35.333822,139.40369
神奈川県鎌倉市,35.319213,139.546673
神奈川県相模原市南区,35.527528,139.395784
神奈川県小田原市,35.264831,139.152309
神奈川県横浜市泉区,35.421819,139.497462
神奈川県相模原市緑区,35.578175,139.182839
神奈川県中郡大磯町,35.307673,139.311384
神奈川県中郡二宮町,35.299452,139.255173
神奈川県横浜市栄区,35.361149,139.563647
神奈川県綾瀬市,35.436607,139.427637
神奈川県横浜市瀬谷区,35.470277,139.492374
神奈川県逗子市,35.295573,139.58045
神奈川県伊勢原市,35.403133,139.314511
神奈川県三浦市,35.144197,139.620758
神奈川県三浦郡葉山町,35.272033,139.586176
神奈川県足柄上郡開成町,35.336385,139.12352
神奈川県高座郡寒川町,35.373001,139.383843
神奈川県足柄上郡大井町,35.326552,139.156642
神奈川県愛甲郡愛川町,35.52884,139.321618
神奈川県南足柄市,35.32063,139.099751
新潟県新潟市中央区,37.904927,139.041036
新潟県新潟市西区,37.851099,138.956997
新潟県長岡市,37.446519,138.85135
新潟県新潟市東区,37.943113,139.086849
新潟県上越市,37.147895,138.236135
新潟県三条市,37.636529,138.961606
新潟県新発田市,37.948373,139.327417
新潟県新潟市江南区,37.872452,139.11715
新潟県新潟市秋葉区,37.795926,139.109961
新潟県新潟市西蒲区,37.747765,138.908223
富山県富山市,36.695822,137.213721
富山県高岡市,36.754112,137.025764
石川県金沢市,36.561031,136.656647
石川県白山市,36.514421,136.565558
石川県小松市,36.408421,136.445853
福井県福井市,36.064139,136.219623
山梨県甲府市,35.662133,138.5683
長野県長野市,36.648526,138.195037
長野県上田市,36.401913,138.249075
長野県松本市,36.238043,137.97199
長野県佐久市,36.248798,138.47685
長野県飯田市,35.51487,137.821701
岐阜県岐阜市,35.423423,136.760622
岐阜県各務原市,35.398923,136.848447
岐阜県大垣市,35.359301,136.613442
岐阜県多治見市,35.33277,137.132139
岐阜県土岐市,35.352564,137.183422
岐阜県瑞浪市,35.361753,137.25462
岐阜県高山市,36.146132,137.252159
岐阜県関市,35.495838,136.918181
岐阜県美濃加茂市,35.44023,137.015653
岐阜県羽島郡岐南町,35.389746,136.783321
岐阜県可児市,35.425947,137.061249
静岡県静岡市清水区,35.113234,138.498721
静岡県浜松市中区,34.737431,137.714458
静岡県焼津市,34.866882,138.323381
静岡県静岡市葵区,35.258344,138.279176
静岡県沼津市,35.095607,138.86354
静岡県静岡市駿河区,34.948714,138.388838
静岡県富士市,35.161484,138.67622
静岡県浜松市南区,34.681403,137.753893
静岡県三島市,35.118491,138.918498
静岡県浜松市東区,34.739496,137.783489
静岡県浜松市西区,34.745088,137.625836
静岡県浜松市北区,34.844334,137.645517
静岡県藤枝市,34.867338,138.257539
静岡県磐田市,34.717909,137.851505
静岡県掛川市,34.768823,137.998413
静岡県富士宮市,35.222128,138.621649
静岡県浜松市浜北区,34.812286,137.783489
静岡県榛原郡川根本町,35.0469,138.081627
静岡県島田市,34.836163,138.175957
愛知県名古屋市昭和区,35.146224,136.956225
愛知県名古屋市中区,35.160804,136.907689
愛知県名古屋市北区,35.203349,136.91254
愛知県名古屋市港区,35.087897,136.854353
愛知県日進市,35.132036,137.039499
愛知県名古屋市東区,35.178332,136.927098
愛知県名古屋市中村区,35.166365,136.859199
愛知県名古屋市天白区,35.129697,136.990228
愛知県名古屋市千種区,35.168467,136.965938
愛知県尾張旭市,35.216596,137.035437
愛知県岡崎市,34.954854,137.173077
愛知県春日井市,35.247697,136.97219
愛知県知多郡南知多町,34.715213,136.929992
愛知県刈谷市,34.989088,137.002301
愛知県名古屋市名東区,35.174195,137.009668
愛知県西尾市,34.861905,137.061878
愛知県一宮市,35.303917,136.802967
愛知県豊田市,35.082556,137.156128
愛知県豊橋市,34.768853,137.391684
愛知県名古屋市緑区,35.085192,136.970795
愛知県津島市,35.177015,136.741168
愛知県名古屋市西区,35.197148,136.888287
愛知県長久手市,35.184083,137.048722
愛知県名古屋市中川区,35.13323,136.834972
愛知県愛知郡東郷町,35.096662,137.052481
愛知県名古屋市守山区,35.217218,136.995087
愛知県安城市,34.958622,137.080365
愛知県海部郡蟹江町,35.132107,136.78674
愛知県名古屋市瑞穂区,35.128697,136.936805
愛知県海部郡大治町,35.175149,136.820054
愛知県名古屋市南区,35.097462,136.927098
愛知県江南市,35.331753,136.869768
愛知県みよし市,35.089417,137.074937
愛知県名古屋市熱田区,35.129583,136.897987
愛知県知多市,34.996638,136.864375
愛知県北名古屋市,35.245689,136.865965
愛知県知多郡東浦町,34.977109,136.965544
愛知県稲沢市,35.248141,136.780243
愛知県常滑市,34.886641,136.832348
愛知県半田市,34.891748,136.937912
愛知県大府市,35.011749,136.963901
愛知県知多郡武豊町,34.851117,136.914784
愛知県あま市,35.200488,136.783403
愛知県犬山市,35.378647,136.94448
愛知県豊明市,35.054549,137.013127
愛知県東海市,35.022646,136.902149
愛知県瀬戸市,35.223933,137.08413
愛知県岩倉市,35.279522,136.871307
愛知県弥富市,35.110094,136.724751
愛知県知立市,35.001303,137.050769
愛知県清須市,35.199371,136.853152
愛知県額田郡幸田町,34.864476,137.165683
愛知県小牧市,35.290338,136.91087
愛知県豊川市,34.826752,137.375777
愛知県西春日井郡豊山町,35.250428,136.911936
愛知県丹羽郡扶桑町,35.359099,136.913215
愛知県愛西市,35.152894,136.728354
愛知県高浜市,34.927939,136.988209
愛知県知多郡阿久比町,34.932858,136.915074
愛知県碧南市,34.885025,136.993561
愛知県知多郡美浜町,34.778881,136.908196
愛知県丹羽郡大口町,35.332469,136.907715
三重県松阪市,34.577976,136.527615
三重県桑名市,35.062147,136.683793
三重県津市,34.718639,136.505226
三重県四日市市,34.965106,136.624412
三重県鈴鹿市,34.881658,136.584231
三重県三重郡川越町,35.022959,136.673902
三重県伊勢市,34.487486,136.709264
三重県三重郡朝日町,35.034295,136.664476
滋賀県大津市,35.017837,135.855208
滋賀県草津市,35.013047,135.959758
滋賀県東近江市,35.112626,136.207575
滋賀県彦根市,35.274391,136.259683
滋賀県長浜市,35.380612,136.278309
京都府京都市右京区,35.14708,135.619608
京都府京都市西京区,34.96473,135.666884
京都府京都市伏見区,34.932416,135.771056
京都府京都市中京区,35.011637,135.744991
京都府京都市上京区,35.028168,135.756837
京都府向日市,34.948706,135.698417
京都府京都市左京区,35.163076,135.808993
京都府京都市下京区,34.992615,135.756837
京都府京都市南区,34.966162,135.737885
京都府木津川市,34.737144,135.820081
京都府宇治市,34.884513,135.799704
京都府相楽郡精華町,34.760867,135.785669
京都府綴喜郡井手町,34.798638,135.802792
京都府京都市山科区,34.98305,135.813738
京都府長岡京市,34.926816,135.695523
京都府京都市東山区,34.992396,135.775797
京都府京都市北区,35.110939,135.695272
京都府八幡市,34.875561,135.707668
京都府亀岡市,35.01345,135.573525
京都府城陽市,34.85298,135.780059
京都府京田辺市,34.814443,135.767651
京都府乙訓郡大山崎町,34.902774,135.688564
京都府久世郡久御山町,34.882076,135.732803
京都府南丹市,35.107341,135.470236
大阪府大阪市阿倍野区,34.630871,135.511053
大阪府大阪市東成区,34.671588,135.546424
大阪府大阪市東住吉区,34.621729,135.529914
大阪府豊中市,34.781108,135.469953
大阪府門真市,34.739572,135.5869
大阪府大阪市鶴見区,34.701357,135.567659
大阪府吹田市,34.759359,135.516477
大阪府大阪市北区,34.706603,135.501625
大阪府堺市中区,34.530888,135.496912
大阪府大阪市旭区,34.724971,135.546424
大阪府高槻市,34.846193,135.617413
大阪府池田市,34.821557,135.42838
大阪府大阪市中央区,34.684257,135.511053
大阪府泉佐野市,34.406893,135.327303
大阪府枚方市,34.814739,135.651136
大阪府大阪市西区,34.681708,135.486824
大阪府岸和田市,34.460703,135.370692
大阪府摂津市,34.77734,135.561779
大阪府大阪市住吉区,34.60874,135.501625
大阪府松原市,34.578057,135.551714
大阪府大阪市浪速区,34.661106,135.494556
大阪府河内長野市,34.457741,135.563939
大阪府大阪市淀川区,34.73349,135.482776
大阪府富田林市,34.49962,135.597315
大阪府大阪市東淀川区,34.741731,135.539348
大阪府寝屋川市,34.76625,135.628018
大阪府大阪市天王寺区,34.6619,135.520483
大阪府茨木市,34.816359,135.568502
大阪府高石市,34.520704,135.442449
大阪府東大阪市,34.679286,135.600851
大阪府大阪市平野区,34.607999,135.55822
大阪府大阪市城東区,34.692693,135.548783
大阪府大阪狭山市,34.503684,135.555728
大阪府大阪市都島区,34.710715,135.529914
大阪府和泉市,34.483299,135.423775
大阪府藤井寺市,34.574317,135.597575
大阪府貝塚市,34.438521,135.358554
大阪府箕面市,34.82693,135.470457
大阪府堺市堺区,34.584801,135.459224
大阪府堺市南区,34.477427,135.496912
大阪府大阪市福島区,34.693595,135.473353
大阪府大阪市此花区,34.676456,135.416861
大阪府大阪市港区,34.658248,135.454515
大阪府堺市北区,34.568551,135.511053
大阪府大阪市大正区,34.644796,135.463933
大阪府八尾市,34.626861,135.600752
大阪府大阪市西淀川区,34.700634,135.440391
大阪府泉南市,34.366124,135.272549
大阪府堺市西区,34.567473,135.421566
大阪府泉大津市,34.504355,135.410531
大阪府守口市,34.736102,135.561304
大阪府大阪市住之江区,34.609117,135.482852
大阪府交野市,34.788355,135.680248
大阪府堺市東区,34.541572,135.529914
大阪府三島郡島本町,34.883754,135.663092
大阪府羽曳野市,34.558142,135.606125
大阪府大東市,34.712009,135.623439
大阪府大阪市西成区,34.640005,135.4922
大阪府柏原市,34.579114,135.628314
大阪府泉南郡岬町,34.317325,135.142186
大阪府大阪市生野区,34.652764,135.539348
大阪府泉南郡熊取町,34.401351,135.355961
大阪府四條畷市,34.740079,135.640113
大阪府泉北郡忠岡町,34.487153,135.401401
大阪府阪南市,34.359608,135.239423
大阪府豊能郡豊能町,34.918966,135.494101
大阪府堺市美原区,34.53672,135.55822
兵庫県神戸市中央区,34.667381,135.214988
兵庫県神戸市東灘区,34.728956,135.271236
兵庫県神戸市兵庫区,34.683336,135.163486
兵庫県芦屋市,34.726954,135.304127
兵庫県西宮市,34.737603,135.341511
兵庫県神戸市西区,34.726422,135.018655
兵庫県姫路市,34.815418,134.685551
兵庫県宝塚市,34.799984,135.360259
兵庫県神戸市灘区,34.738301,135.214988
兵庫県伊丹市,34.784348,135.40091
兵庫県神戸市垂水区,34.650884,135.065325
兵庫県加古川市,34.756919,134.84136
兵庫県尼崎市,34.732711,135.405791
兵庫県明石市,34.643208,134.997586
兵庫県三田市,34.89,135.225507
兵庫県川西市,34.830199,135.417396
兵庫県神戸市長田区,34.665765,135.144773
兵庫県神戸市北区,34.796226,135.168166
兵庫県神戸市須磨区,34.668314,135.102695
兵庫県川辺郡猪名川町,34.895062,135.376163
兵庫県洲本市,34.342888,134.895295
兵庫県淡路市,34.439656,134.914911
奈良県大和郡山市,34.648838,135.782503
奈良県大和高田市,34.515082,135.736395
奈良県生駒市,34.691953,135.700519
奈良県北葛城郡王寺町,34.594695,135.706551
奈良県葛城市,34.489209,135.726467
奈良県奈良市,34.685109,135.804802
奈良県橿原市,34.50945,135.792595
奈良県桜井市,34.518671,135.843226
奈良県生駒郡斑鳩町,34.60887,135.730648
奈良県北葛城郡広陵町,34.542772,135.750863
奈良県香芝市,34.541247,135.698984
奈良県生駒郡三郷町,34.600411,135.695361
奈良県天理市,34.59666,135.837361
奈良県宇陀市,34.528023,135.952433
奈良県北葛城郡上牧町,34.562767,135.716727
奈良県北葛城郡河合町,34.578452,135.736701
奈良県磯城郡田原本町,34.556661,135.795004
奈良県吉野郡吉野町,34.396001,135.857574
和歌山県和歌山市,34.230368,135.170741
鳥取県米子市,35.428116,133.330997
鳥取県鳥取市,35.501108,134.235101
島根県松江市,35.468191,133.048406
島根県出雲市,35.367044,132.754694
岡山県岡山市北区,34.811731,133.905516
岡山県岡山市南区,34.587625,133.886423
岡山県岡山市中区,34.660706,133.962749
岡山県倉敷市,34.584978,133.771981
岡山県津山市,35.069164,134.00458
岡山県岡山市東区,34.697808,134.038955
広島県廿日市市,34.348798,132.331786
広島県広島市西区,34.405574,132.423334
広島県広島市中区,34.381432,132.447902
広島県広島市佐伯区,34.46758,132.255969
広島県広島市安佐南区,34.468627,132.403672
広島県福山市,34.485985,133.362424
広島県広島市南区,34.380439,132.482277
広島県東広島市,34.426414,132.743312
広島県広島市安芸区,34.402942,132.599964
広島県広島市東区,34.426706,132.50191
広島県尾道市,34.4089,133.204914
広島県広島市安佐北区,34.532401,132.531346
広島県呉市,34.248949,132.565527
広島県三原市,34.397431,133.078761
広島県安芸郡海田町,34.372171,132.536086
広島県安芸郡府中町,34.392429,132.504531
広島県安芸郡坂町,34.341284,132.513635
山口県宇部市,33.951555,131.246816
山口県岩国市,34.166745,132.219164
山口県周南市,34.05501,131.806115
山口県下関市,33.95753,130.941176
山口県山口市,34.178295,131.473843
山口県防府市,34.051725,131.562731
徳島県徳島市,34.070365,134.554954
香川県丸亀市,34.289355,133.797643
香川県高松市,34.342542,134.046541
愛媛県松山市,33.839352,132.765306
愛媛県新居浜市,33.960288,133.283392
愛媛県今治市,34.066202,132.997791
愛媛県西条市,33.919495,133.181144
高知県高知市,33.558882,133.531238
福岡県北九州市小倉北区,33.888023,130.867747
福岡県福岡市西区,33.595214,130.237348
福岡県福岡市博多区,33.590342,130.441447
福岡県福岡市中央区,33.588913,130.38539
福岡県福岡市早良区,33.474854,130.32928
福岡県北九州市八幡東区,33.856461,130.807039
福岡県久留米市,33.319236,130.508356
福岡県北九州市八幡西区,33.84345,130.746267
福岡県福岡市東区,33.635812,130.421068
福岡県大牟田市,33.030195,130.446139
福岡県春日市,33.532612,130.470502
福岡県福岡市南区,33.542116,130.421068
福岡県糸島市,33.557302,130.19553
福岡県福岡市城南区,33.550027,130.364992
福岡県北九州市門司区,33.90327,130.968784
福岡県古賀市,33.728762,130.470096
福岡県飯塚市,33.646563,130.69118
福岡県北九州市小倉南区,33.810741,130.898077
福岡県北九州市戸畑区,33.906847,130.832342
福岡県北九州市若松区,33.899342,130.746267
福岡県粕屋郡志免町,33.591351,130.479027
福岡県大野城市,33.536965,130.478597
福岡県福津市,33.766763,130.491062
福岡県粕屋郡粕屋町,33.61073,130.480559
福岡県遠賀郡芦屋町,33.89387,130.663761
福岡県宗像市,33.805543,130.54103
福岡県粕屋郡篠栗町,33.623931,130.52618
福岡県田川郡糸田町,33.652745,130.779044
福岡県太宰府市,33.512773,130.523969
福岡県那珂川市,33.499532,130.42217
福岡県筑紫野市,33.49625,130.515594
福岡県小郡市,33.396427,130.555551
福岡県中間市,33.816304,130.708979
福岡県大川市,33.205762,130.384132
福岡県筑後市,33.212379,130.502234
福岡県柳川市,33.163101,130.405812
福岡県粕屋郡宇美町,33.567738,130.5112
福岡県行橋市,33.728842,130.982874
福岡県粕屋郡新宮町,33.71531,130.446516
佐賀県佐賀市,33.263118,130.300906
佐賀県唐津市,33.450097,129.968268
長崎県長崎市,32.750333,129.877889
長崎県佐世保市,33.180436,129.7158
長崎県諫早市,32.843434,130.053112
熊本県熊本市中央区,32.802657,130.725996
熊本県熊本市東区,32.816421,130.786789
熊本県熊本市西区,32.815606,130.644838
熊本県熊本市南区,32.724393,130.685431
熊本県熊本市北区,32.880438,130.695575
熊本県八代市,32.508338,130.601816
大分県大分市,33.239608,131.609515
大分県別府市,33.284461,131.490709
宮崎県宮崎市,31.907729,131.42022
宮崎県延岡市,32.58232,131.665141
宮崎県都城市,31.719591,131.061559
鹿児島県鹿児島市,31.596854,130.557139
鹿児島県鹿屋市,31.378248,130.852262
鹿児島県霧島市,31.740732,130.763328
鹿児島県薩摩川内市,31.813286,130.303464
沖縄県那覇市,26.212576,127.679021
沖縄県沖縄市,26.334353,127.805606
沖縄県浦添市,26.24578,127.721716
沖縄県うるま市,26.378685,127.857493
茨城県北相馬郡利根町,35.857784,140.139166
